"year","month","mo_yr","cmip_projection","weighted_mean_pr_mm","stdev_pr_mm","weighted_mean_tasmin_degC","stdev_tasmin_degC","weighted_mean_tasmax_degC","stdev_tasmax_degC"
"1952","03","03-1952","hadgem2-es.1.rcp45",1.94309115409851,0.045390035957098,-4.91195058822632,0.0774640068411827,5.60166215896606,0.0761174410581589
"1952","04","04-1952","hadgem2-es.1.rcp45",2.79544925689697,0.0772713646292686,1.71195113658905,0.0703575313091278,12.8350954055786,0.0992550551891327
"1952","05","05-1952","hadgem2-es.1.rcp45",1.64166724681854,0.0135180838406086,7.12750053405762,0.0716964527964592,20.8002681732178,0.178377881646156
"1952","06","06-1952","hadgem2-es.1.rcp45",3.07408475875854,0.0345848724246025,12.2167510986328,0.0746210217475891,25.3331851959229,0.157693088054657
"1952","07","07-1952","hadgem2-es.1.rcp45",1.36483252048492,0.0125278113409877,15.6999340057373,0.0641211718320847,28.258716583252,0.18138487637043
"1952","08","08-1952","hadgem2-es.1.rcp45",1.83002805709839,0.0269525535404682,13.586350440979,0.0647729933261871,25.2850589752197,0.105027161538601
"1952","09","09-1952","hadgem2-es.1.rcp45",2.64544773101807,0.0210182294249535,8.76520538330078,0.0995247364044189,20.3683757781982,0.0650819092988968
"1952","10","10-1952","hadgem2-es.1.rcp45",3.2756712436676,0.0269062798470259,4.11708927154541,0.0995827540755272,14.6709823608398,0.0623417273163795
"1952","11","11-1952","hadgem2-es.1.rcp45",3.28282690048218,0.0980018228292465,-2.41298246383667,0.0729047507047653,4.86565351486206,0.0743629559874535
"1952","12","12-1952","hadgem2-es.1.rcp45",5.13293123245239,0.113612025976181,-7.8033652305603,0.0838163122534752,-0.606694161891937,0.0819488614797592
"1953","01","01-1953","hadgem2-es.1.rcp45",2.6795814037323,0.058723833411932,-17.6473922729492,0.12404827773571,-5.61444044113159,0.0779681727290154
"1953","02","02-1953","hadgem2-es.1.rcp45",1.96273100376129,0.0802009701728821,-15.1354160308838,0.0985777601599693,-3.24754285812378,0.0731343924999237
"1953","03","03-1953","hadgem2-es.1.rcp45",2.34045672416687,0.0508625581860542,-5.01706790924072,0.0844754502177238,4.36956834793091,0.0894735753536224
"1953","04","04-1953","hadgem2-es.1.rcp45",6.77754592895508,0.273014068603516,1.62890207767487,0.0853919610381126,11.3121776580811,0.115869514644146
"1953","05","05-1953","hadgem2-es.1.rcp45",1.78062450885773,0.0152982650324702,4.95239067077637,0.085952453315258,17.4666690826416,0.222367793321609
"1953","06","06-1953","hadgem2-es.1.rcp45",1.41087055206299,0.0192007441073656,9.94585514068604,0.0819525942206383,22.7559680938721,0.207440137863159
"1953","07","07-1953","hadgem2-es.1.rcp45",2.62895560264587,0.0313493758440018,12.597846031189,0.0649579539895058,26.0591239929199,0.182228401303291
"1953","08","08-1953","hadgem2-es.1.rcp45",1.27062058448792,0.0147565593943,11.8625106811523,0.061797559261322,25.1351985931396,0.15228570997715
"1953","09","09-1953","hadgem2-es.1.rcp45",1.31479215621948,0.0158123020082712,6.24279642105103,0.104263931512833,18.4533653259277,0.0686441585421562
"1953","10","10-1953","hadgem2-es.1.rcp45",2.3893449306488,0.0308628436177969,2.48859310150146,0.0960709229111671,14.1985158920288,0.0690740942955017
"1953","11","11-1953","hadgem2-es.1.rcp45",3.21639609336853,0.0700290128588676,-2.04262518882751,0.077342800796032,7.69987440109253,0.0757653266191483
"1953","12","12-1953","hadgem2-es.1.rcp45",5.14156246185303,0.131178364157677,-10.0031261444092,0.107119083404541,0.46408548951149,0.0937191992998123
"1954","01","01-1954","hadgem2-es.1.rcp45",6.55159521102905,0.267772138118744,-12.3504247665405,0.131177470088005,-1.92312693595886,0.0987800881266594
"1954","02","02-1954","hadgem2-es.1.rcp45",5.38469886779785,0.125543236732483,-12.3053779602051,0.0813607349991798,-1.16975426673889,0.0747710019350052
"1954","03","03-1954","hadgem2-es.1.rcp45",3.71500992774963,0.0970611497759819,-6.30541706085205,0.0752042829990387,4.29202651977539,0.0686470493674278
"1954","04","04-1954","hadgem2-es.1.rcp45",2.33122181892395,0.0672539845108986,-0.519493818283081,0.0715901702642441,10.8014802932739,0.10187379270792
"1954","05","05-1954","hadgem2-es.1.rcp45",0.665201842784882,0.00719642685726285,4.74695539474487,0.076060026884079,19.4165458679199,0.213519752025604
"1954","06","06-1954","hadgem2-es.1.rcp45",1.4311056137085,0.027312271296978,10.3906593322754,0.0756668522953987,24.0572872161865,0.17854331433773
"1954","07","07-1954","hadgem2-es.1.rcp45",2.68404006958008,0.0245868768543005,13.4541549682617,0.0653323009610176,24.3526573181152,0.179370194673538
"1954","08","08-1954","hadgem2-es.1.rcp45",1.41206192970276,0.0242413282394409,13.445068359375,0.0659125447273254,26.0705986022949,0.1313256919384
"1954","09","09-1954","hadgem2-es.1.rcp45",2.79005694389343,0.0172749608755112,8.41469383239746,0.0993668437004089,20.973424911499,0.0732496157288551
